Entity,Code,Year,Urban population living in slums
Peru,PER,2008,8767016
Peru,PER,2010,8527068
Peru,PER,2012,8298816
Peru,PER,2014,8075010
Philippines,PHL,2000,17973515
Philippines,PHL,2002,18146229
Philippines,PHL,2004,18273154
Philippines,PHL,2006,18350256
Philippines,PHL,2008,18395488
Philippines,PHL,2010,18422889
Philippines,PHL,2012,18613777
Philippines,PHL,2014,18742660
Philippines,PHL,2016,18874770
Philippines,PHL,2018,19005063
Philippines,PHL,2020,19474948
Rwanda,RWA,2000,864543
Rwanda,RWA,2002,954291
Rwanda,RWA,2004,958188
Rwanda,RWA,2006,956251
Rwanda,RWA,2008,951902
Rwanda,RWA,2010,942949
Rwanda,RWA,2012,928136
Rwanda,RWA,2014,907583
Rwanda,RWA,2016,886641
Rwanda,RWA,2018,864677
Rwanda,RWA,2020,878839
Sao Tome and Principe,STP,2004,56132
Sao Tome and Principe,STP,2006,61407
Sao Tome and Principe,STP,2008,65873
Sao Tome and Principe,STP,2010,69158
Sao Tome and Principe,STP,2012,72093
Sao Tome and Principe,STP,2014,74610
Sao Tome and Principe,STP,2016,76584
Sao Tome and Principe,STP,2018,80933
Sao Tome and Principe,STP,2020,85511
Senegal,SEN,2000,2627614
Senegal,SEN,2002,2629331
Senegal,SEN,2004,2653503
Senegal,SEN,2006,2680211
Senegal,SEN,2008,2699183
Senegal,SEN,2010,2708391
Senegal,SEN,2012,2704488
Senegal,SEN,2014,2683100
Senegal,SEN,2016,2643948
Senegal,SEN,2018,2584287
Senegal,SEN,2020,2499750
Sierra Leone,SLE,2000,1206876
Sierra Leone,SLE,2002,1371616
Sierra Leone,SLE,2004,1469070
Sierra Leone,SLE,2006,1512934
Sierra Leone,SLE,2008,1555552
Sierra Leone,SLE,2010,1609038
Sierra Leone,SLE,2012,1657658
Sierra Leone,SLE,2014,1699344
Sierra Leone,SLE,2016,1733935
Sierra Leone,SLE,2018,1764915
Sierra Leone,SLE,2020,1789986
South Africa,ZAF,2000,7353166
South Africa,ZAF,2002,7513824
South Africa,ZAF,2004,7690533
South Africa,ZAF,2006,7869530
South Africa,ZAF,2008,8066683
South Africa,ZAF,2010,8282194
South Africa,ZAF,2012,8515651
South Africa,ZAF,2014,8779644
South Africa,ZAF,2016,9055604
South Africa,ZAF,2018,9200748
South Africa,ZAF,2020,9584519
South Asia (WB),,2000,222940693
South Asia (WB),,2002,233586860
South Asia (WB),,2004,244431506
South Asia (WB),,2006,255349706
South Asia (WB),,2008,265444332
South Asia (WB),,2010,275835729
South Asia (WB),,2012,286431082
South Asia (WB),,2014,296788999
South Asia (WB),,2016,307011276
South Asia (WB),,2018,317520809
South Asia (WB),,2020,331618710
South Sudan,SSD,2002,1118416
South Sudan,SSD,2004,1243102
South Sudan,SSD,2006,1385287
South Sudan,SSD,2008,1546026
South Sudan,SSD,2010,1683011
South Sudan,SSD,2012,1836474
South Sudan,SSD,2014,1967448
South Sudan,SSD,2016,1990202
Sub-Saharan Africa (WB),,2000,134298531
Sub-Saharan Africa (WB),,2002,147371288
Sub-Saharan Africa (WB),,2004,155583601
Sub-Saharan Africa (WB),,2006,164977251
Sub-Saharan Africa (WB),,2008,174469297
Sub-Saharan Africa (WB),,2010,184622641
Sub-Saharan Africa (WB),,2012,194959028
Sub-Saharan Africa (WB),,2014,205541208
Sub-Saharan Africa (WB),,2016,216391270
Sub-Saharan Africa (WB),,2018,227703180
Sub-Saharan Africa (WB),,2020,240343239
Sudan,SDN,2002,8907305
Sudan,SDN,2004,9345066
Sudan,SDN,2006,9862418
Sudan,SDN,2008,9922575
Sudan,SDN,2010,9927023
Sudan,SDN,2012,9828937
Sudan,SDN,2014,9816780
Sudan,SDN,2016,9897312
Sudan,SDN,2018,10722844
Sudan,SDN,2020,11546288
Suriname,SUR,2000,23648
Suriname,SUR,2002,27287
Suriname,SUR,2004,31022
Suriname,SUR,2006,34570
Suriname,SUR,2008,38258
Suriname,SUR,2010,42081
Suriname,SUR,2012,46013
Suriname,SUR,2014,50034
Suriname,SUR,2016,54244
Suriname,SUR,2018,58687
Suriname,SUR,2020,63449
Tajikistan,TJK,2000,1002036
Tajikistan,TJK,2002,966256
Tajikistan,TJK,2004,922685
Tajikistan,TJK,2006,872481
Tajikistan,TJK,2008,817307
Tajikistan,TJK,2010,758651
Tajikistan,TJK,2012,696635
Tajikistan,TJK,2014,631096
Tajikistan,TJK,2016,559631
Tajikistan,TJK,2018,478975
Tajikistan,TJK,2020,447920
Tanzania,TZA,2000,6252911
Tanzania,TZA,2002,6456424
Tanzania,TZA,2004,6765875
Tanzania,TZA,2006,7084759
Tanzania,TZA,2008,7380777
Tanzania,TZA,2010,7614477
Tanzania,TZA,2012,7861702
Tanzania,TZA,2014,8091278
Tanzania,TZA,2016,8314128
Tanzania,TZA,2018,8438695
Tanzania,TZA,2020,8886047
Thailand,THA,2000,3088986
Thailand,THA,2002,3380929
Thailand,THA,2004,3563984
Thailand,THA,2006,3603701
Thailand,THA,2008,3613717
Thailand,THA,2010,3586187
Thailand,THA,2012,3438604
Thailand,THA,2014,3252816
Thailand,THA,2016,3033518
Thailand,THA,2018,2782303
Thailand,THA,2020,2497771
Togo,TGO,2000,1141599
Togo,TGO,2002,1179032
Togo,TGO,2004,1213307
Togo,TGO,2006,1246876
Togo,TGO,2008,1281709
Togo,TGO,2010,1308673
Togo,TGO,2012,1329955
Togo,TGO,2014,1343356
Togo,TGO,2016,1348574
Togo,TGO,2018,1345008
Togo,TGO,2020,1391168
Trinidad and Tobago,TTO,2000,82371
Trinidad and Tobago,TTO,2002,82664
Trinidad and Tobago,TTO,2004,83033
Trinidad and Tobago,TTO,2006,77538
Trinidad and Tobago,TTO,2008,71983
Trinidad and Tobago,TTO,2010,66439
Trinidad and Tobago,TTO,2012,60955
Trinidad and Tobago,TTO,2014,58113
Trinidad and Tobago,TTO,2016,58681
Tunisia,TUN,2006,714402
Tunisia,TUN,2008,734134
Tunisia,TUN,2010,736701
Tunisia,TUN,2012,724374
Tunisia,TUN,2014,708236
Tunisia,TUN,2016,690326
Tunisia,TUN,2018,669964
Tunisia,TUN,2020,646650
Turkey,TUR,2000,10203169
Turkey,TUR,2002,10094688
Turkey,TUR,2004,9930879
Turkey,TUR,2006,9718638
Turkey,TUR,2008,9440962
Turkey,TUR,2010,9129747
Turkey,TUR,2012,8786486
Turkey,TUR,2014,8461333
Turkey,TUR,2016,8484554
Turkey,TUR,2018,8790028
Turkmenistan,TKM,2000,220272
Turkmenistan,TKM,2002,228746
Turkmenistan,TKM,2004,237075
Turkmenistan,TKM,2006,240398
Turkmenistan,TKM,2008,244308
Turkmenistan,TKM,2010,249245
Turkmenistan,TKM,2012,255197
Turkmenistan,TKM,2014,261701
Turkmenistan,TKM,2016,268131
Turkmenistan,TKM,2018,274008
Turkmenistan,TKM,2020,279224
Uganda,UGA,2000,2873367
Uganda,UGA,2002,3121981
Uganda,UGA,2004,3384205
Uganda,UGA,2006,3651728
Uganda,UGA,2008,3934418
Uganda,UGA,2010,4228721
Uganda,UGA,2012,4533729
Uganda,UGA,2014,4850724
Uganda,UGA,2016,5206369
Uganda,UGA,2018,5596320
Uganda,UGA,2020,5984938
Ukraine,UKR,2000,1650978
Ukraine,UKR,2002,1621603
Ukraine,UKR,2004,1475490
Ukraine,UKR,2006,1240246
Ukraine,UKR,2008,1011389
Ukraine,UKR,2010,786637
Ukraine,UKR,2012,564480
Ukraine,UKR,2014,343456
Ukraine,UKR,2016,342348
Ukraine,UKR,2018,340413
Uruguay,URY,2000,718055
Uruguay,URY,2002,725395
Uruguay,URY,2004,730258
Uruguay,URY,2006,620065
Uruguay,URY,2008,508776
Uruguay,URY,2010,395626
Uruguay,URY,2012,280186
Uruguay,URY,2014,162529
Venezuela,VEN,2000,5950359
Venezuela,VEN,2002,5878123
Venezuela,VEN,2004,5926629
Venezuela,VEN,2006,6128014
Vietnam,VNM,2000,8726059
Vietnam,VNM,2002,8305765
Vietnam,VNM,2004,7781309
Vietnam,VNM,2006,7137332
Vietnam,VNM,2008,6368159
Vietnam,VNM,2010,5476421
Vietnam,VNM,2012,4438586
Vietnam,VNM,2014,3235719
Vietnam,VNM,2016,1853069
Vietnam,VNM,2018,1965754
Vietnam,VNM,2020,2080862
West Bank and Gaza,,2002,668054
West Bank and Gaza,,2004,707316
West Bank and Gaza,,2006,725622
West Bank and Gaza,,2008,719159
West Bank and Gaza,,2010,709086
West Bank and Gaza,,2012,693487
West Bank and Gaza,,2014,672229
West Bank and Gaza,,2016,645277
West Bank and Gaza,,2018,678600
West Bank and Gaza,,2020,718579
Yemen,YEM,2000,3122457
Yemen,YEM,2002,3286125
Yemen,YEM,2004,3447503
Yemen,YEM,2006,3624206
Yemen,YEM,2008,3809138
Yemen,YEM,2010,3986712
Yemen,YEM,2012,4155672
Yemen,YEM,2014,4310619
Yemen,YEM,2016,4579668
Yemen,YEM,2018,4986759
Zambia,ZMB,2000,2195664
Zambia,ZMB,2002,2319892
Zambia,ZMB,2004,2473167
Zambia,ZMB,2006,2646961
Zambia,ZMB,2008,2839440
Zambia,ZMB,2010,3040768
Zambia,ZMB,2012,3240920
Zambia,ZMB,2014,3446218
Zambia,ZMB,2016,3654970
Zambia,ZMB,2018,3866491
Zambia,ZMB,2020,4076485
Zimbabwe,ZWE,2000,1099535
Zimbabwe,ZWE,2002,1116069
Zimbabwe,ZWE,2004,1098124
Zimbabwe,ZWE,2006,1076586
Zimbabwe,ZWE,2008,1058885
Zimbabwe,ZWE,2010,1046178
Zimbabwe,ZWE,2012,1043135
Zimbabwe,ZWE,2014,1051800
Zimbabwe,ZWE,2016,1062306
Zimbabwe,ZWE,2018,1074524
Zimbabwe,ZWE,2020,1089672
